trip_id,arrival_time,departure_time,stop_id,stop_sequence,pickup_type,drop_off_type,shape_dist_traveled
56,08:09:00,08:09:00,39635,10,0,0,22.9356
56,08:12:00,08:12:00,72,11,0,0,24.7044
56,08:18:00,08:18:00,38081,12,0,0,26.8301
56,08:20:00,08:20:00,89,13,0,0,27.7148
56,08:23:00,08:23:00,150,14,0,0,28.8439
56,08:26:00,08:26:00,153,15,0,0,29.7172
56,08:28:00,08:28:00,152,16,0,0,30.5777
56,08:32:00,08:32:00,14,17,0,0,31.2047
56,08:35:00,08:35:00,50,18,0,0,31.7714
56,08:37:00,08:37:00,19,19,0,0,32.3687
56,08:44:00,08:44:00,106,20,0,0,35.8256
56,09:03:00,09:03:00,63,21,0,0,43.4205
57,05:15:00,05:15:00,54,1,0,0,0.0000
57,05:26:00,05:26:00,93,2,0,0,6.6949
57,05:31:00,05:31:00,101,3,0,0,8.0913
57,05:35:00,05:35:00,67,4,0,0,10.3125
